"id" "age" "emp" "cmean_emp" "emp_prev" "ln_roa" "exit_term" "assp_soc_prev" "assp_soc" "assp_hist"
"406" 74 3 1 1.5 2 0.00966440420597792 0 -46272.125 -285779.5 234651
"407" 74 4 1 1.33333333333333 1 0.0130203040316701 0 -102131.3125 -46272.125 23573
"408" 74 5 1 1.25 1 0.0278682950884104 0 -293790.625 -102131.3125 8614
"410" 75 7 1 32 32 0 0 6092196 -523144 2851705
"412" 76 12 28 28 28 0 0 -1945013 -1945013 -30820.56640625
"413" 76 13 32 28 28 9.9451164714992e-05 0 -1945013 -1945013 -42857.14453125
"414" 76 14 44 29.3333333333333 32 0.000643566076178104 0 -1945013 -1945013 0
"438" 79 10 34 27 27 0 0 -122287.875 -190704.75 104429.8125
"439" 79 11 36 30.5 34 0 0 -55331.75 -122287.875 95810.8125
"440" 79 12 39 32.3333333333333 36 0 0 -94235.9375 -55331.75 14926.1875
"441" 79 13 36 34 39 0.0667082369327545 0 54222.375 -94235.9375 264858.6875
"442" 79 14 36 34.4 36 0.186665281653404 0 21402.5 54222.375 10488.875
"446" 80 2 1 1 1 0.0902289226651192 0 -393827.25 -267972.5625 200491
"447" 80 3 1 1 1 0 0 -711280.625 -393827.25 -331821
"448" 80 4 1 1 1 0 1 -664426.75 -711280.625 52428
"449" 80 5 1 1 1 0 0 -237536.75 -664426.75 118535
"450" 80 6 1 1 1 0 0 -952560.875 -237536.75 -347334
"452" 81 9 10 12 12 0 0 -1945013 -1945013 -120886.921875
"453" 81 10 11 11 10 0 0 -1945013 -1945013 -27400
"454" 81 11 7 11 11 0 0 -1945013 -1945013 898600
"455" 81 12 4 10 7 0 0 -1945013 -1945013 -434150
"456" 81 13 1 8.8 4 0.0102909794077277 0 -1945013 -1945013 -455755
"457" 81 14 1 7.5 1 0 0 -1945013 -1945013 1692
"459" 82 2 3 1 1 0 0 1262583.5 3640636.25 -2230286
"467" 83 4 5 1 1 0 0 -1860421.375 -1945013 90700
"468" 83 5 5 3 5 0 0 -1777934.328125 -1860421.375 109299.796875
"469" 83 6 1 3.66666666666667 5 0 0 -1861158.25 -1777934.328125 146280.203125
"472" 85 13 200 202 202 0 0 -127595.25 -148729.1875 146403.625
"473" 85 14 190 201 200 0 0 -56427.0625 -127595.25 -45785.375
"475" 86 8 24 31 31 0.0352002419531345 0 -1945013 -1945013 110096.25
"476" 86 9 23 27.5 24 0.0309758838266134 0 -1945013 -1945013 1252042.75
"477" 86 10 22 26 23 0 0 -1945013 -1945013 435560
"478" 86 11 24 25 22 0.0424814224243164 0 -1945013 -1945013 -1282385.125
"479" 86 12 19 24.8 24 0.0977953672409058 0 -1945013 -1945013 -127509.625
"480" 86 13 20 23.8333333333333 19 0.0461707003414631 0 -1945013 -1945013 -651721.75
"482" 87 2 67 76 76 0.0238777454942465 0 -62039.9375 -16607.5 -5015.75
"483" 87 3 59 71.5 67 0 0 -139815.9375 -62039.9375 103341.875
"484" 87 4 62 67.3333333333333 59 0 0 -64496.1875 -139815.9375 37208.5625
"488" 90 13 68 63 63 0.00791846122592688 0 6092196 -1594517 2851705
"489" 90 14 48 65.5 68 0.0463368371129036 0 1242524 6092196 -274546
"491" 91 3 1 1 1 0.212044045329094 1 -934133.25 -598438.625 -229387
"493" 92 8 3 3 3 0.368542969226837 1 6092196 6092196 2851705
"494" 92 9 2 3 3 0.446563512086868 0 6092196 6092196 2851705
"495" 92 10 3 2.66666666666667 2 0.000448642618721351 0 6092196 6092196 -2230286
"496" 92 11 2 2.75 3 0.0624482557177544 0 6092196 6092196 2851705
"497" 92 14 2 2.6 2 0.00134258228354156 0 -1945013 6092196 -2230286
"501" 95 8 1 10 10 0 1 -1085920.75 -422854.875 -471115.375
"503" 96 8 3 3 3 0 0 153751 71546.4375 92065.0625
"512" 98 4 29 16 16 0.0780342593789101 0 2534965.625 1771545.5 865858
"513" 98 5 30 22.5 29 0.250625520944595 0 2294448.875 2534965.625 -262521
"520" 100 10 3 3 3 0.0044136717915535 0 -1945013 -1945013 -28336.6875
"521" 100 11 3 3 3 0.0111166443675756 0 -1945013 -1945013 -298330
"522" 100 12 3 3 3 0.11687458306551 0 -1945013 -1945013 534666.3125
"523" 100 13 1 3 3 0.0418100245296955 0 -1945013 -1945013 801225.6875
"524" 100 14 2 2.6 1 0 0 -1945013 -1945013 -967642
"526" 101 11 1 1 1 0.0215458534657955 0 -719133.5 -886280.25 927736
"527" 101 12 2 1 1 0.205243080854416 0 -281222 -719133.5 -1150966
"528" 101 13 2 1.33333333333333 2 0.164973720908165 0 -173131 -281222 -244608
"529" 101 14 3 1.5 2 0.0590461939573288 0 -1945013 -173131 -1081262
"539" 102 2 1 2 2 0.0197238717228174 0 607392.75 161410.625 499812.5
"540" 102 3 1 1.5 1 0.164810732007027 1 2948798.625 607392.75 2501115
"546" 104 2 2 1 1 0 0 2207949.625 517134 1742492.5
"547" 104 3 2 1.5 2 0.00223411293700337 1 2361747.375 2207949.625 235500.5
"548" 104 4 2 1.66666666666667 2 0.0118776261806488 0 2357775.25 2361747.375 102335.5
"549" 104 5 4 1.75 2 0.0182417463511229 0 412439.75 2357775.25 -1753385
"550" 104 6 4 2.2 4 0.0135359680280089 1 650916.75 412439.75 53248.5
"552" 105 2 1 1 1 0.11442331969738 0 -700216.25 -1186269.75 300825
"557" 106 2 5 4 4 0 0 -572770.0625 -423464.75 -334533.8125
"559" 107 13 4 4 4 0.027402238920331 0 -1945013 -1945013 0
"560" 107 14 4 4 4 4.41359770775307e-05 0 -1945013 -1945013 0
"575" 110 3 1 1 1 0.0329426378011703 0 -945144 -788594.375 -36329
"576" 110 4 1 1 1 0.112106181681156 0 -617346.875 -945144 379474
"577" 110 5 1 1 1 0.178117290139198 0 -893327.625 -617346.875 -194278
"578" 110 6 5 1 1 0.0366280302405357 1 -1357097.546875 -893327.625 -165511.796875
"579" 110 7 3 1.8 5 0.000196220193174668 0 -893716.59375 -1357097.546875 278152.453125
"581" 111 6 2 4 4 0 0 1499629.125 26430 1524876
"585" 112 10 365 337 337 0 0 -1614699 -1909059 965384
"586" 112 11 397 351 365 0 0 3115213 -1614699 400823
"587" 112 13 392 366.333333333333 397 7.24131168681197e-05 0 6092196 3115213 1760274
"590" 113 4 12 15 15 0 0 6092196 6092196 2851705
"591" 113 5 14 13.5 12 0 0 6092196 6092196 -2230286
"594" 115 7 11 12 12 0.0212442670017481 0 -1945013 -1945013 -1137237.125
"595" 115 8 10 11.5 11 7.12294720983664e-08 0 -1945013 -1945013 378712.375
"599" 116 2 3 3 3 0.110479988157749 0 6092196 6092196 2851705
"600" 116 4 2 3 3 0.118165902793407 0 -1945013 6092196 -2230286
"602" 117 8 84 65 65 0 0 -45928.5625 -142906.25 102541.25
"603" 117 9 99 74.5 84 0 0 -141416.6875 -45928.5625 -70876.6875
"604" 117 10 113 82.6666666666667 99 0 0 -224500.8125 -141416.6875 -47071.1875
"605" 117 11 71 90.25 113 0 0 3130417.625 -224500.8125 2851705
"606" 117 12 68 86.4 71 0 0 1927813.75 3130417.625 -1148773.5
"607" 117 13 85 83.3333333333333 68 0 0 1046934.125 1927813.75 -764479.25
"608" 117 14 80 83.5714285714286 85 0 0 2501780.375 1046934.125 1498155
"610" 118 7 11 9 9 0.000186025557923131 0 -200908.875 -293179.6875 82876.6875
"611" 118 8 8 10 11 0 0 232675.25 -200908.875 514541.5
"612" 118 9 12 9.33333333333333 8 0.00078538159141317 0 -40600.75 232675.25 -262416.625
"613" 118 10 13 10 12 0.0138164199888706 0 -101440.875 -40600.75 -57430.875
"614" 118 11 12 10.6 13 0.114198766648769 0 301591.625 -101440.875 491201.75
"615" 118 12 12 10.8333333333333 12 0 0 487703.25 301591.625 164107.375
"620" 122 13 4 4 4 0.116797208786011 0 -616578.375 -544403.125 -28866.5
"622" 123 2 2 1 1 0.0287664327770472 0 2575795.625 -119429.875 2705086
"623" 123 3 1 1.5 2 0.504694223403931 0 4758894 2575795.625 2303319
"624" 123 4 1 1.33333333333333 1 0.368260145187378 0 5714304.125 4758894 1007087
"625" 123 5 2 1.25 1 0.331337451934814 0 2185078.875 5714304.125 -2230286
"626" 123 6 2 1.4 2 0.252434492111206 0 2159430.75 2185078.875 80659.5
"627" 123 7 2 1.5 2 0.215101391077042 0 1904804.75 2159430.75 -62675.5
"628" 123 8 2 1.57142857142857 2 0.156424626708031 0 2154560.25 1904804.75 64527
"631" 124 13 1 4 4 0.0109414365142584 1 2305477.75 -1945013 1689628
"632" 124 14 1 2.5 1 0.0251562166959047 0 -1945013 2305477.75 1529832
"635" 126 9 2 37 37 0 0 69378.75 73589.75 102096.625
"650" 129 3 1 2 2 0.0446296818554401 0 -271651.75 -305654.125 -64439.5
"651" 129 4 1 1.5 1 0 0 -1010141.125 -271651.75 -417955
"653" 130 12 8 13 13 0 0 -474349.75 -461351.8125 48959.3125
"654" 130 13 9 10.5 8 0 0 -402315.75 -474349.75 -26407.875
"655" 130 14 8 10 9 0 0 -795318 -402315.75 -72467.875
"657" 131 8 2 2 2 0.0822206363081932 0 -1945013 -1945013 -99290
"658" 131 9 2 2 2 0.00500354124233127 0 -1945013 -1945013 -7157
"664" 132 2 2 1 1 0 0 -509909.375 -483098.3125 108885
"665" 132 3 2 1.5 2 0 0 -637818.5625 -509909.375 -65913.5
"666" 132 4 3 1.66666666666667 2 0 0 -658881.375 -637818.5625 31714.5
"667" 132 5 2 2 3 0 0 -779896.375 -658881.375 -111370.5
"670" 134 2 2 1 1 0.0231997855007648 1 1342873.625 -871927.25 2493208
"688" 140 3 3 2 2 0 0 -1071147.20703125 -726601 -292869.33203125
